TABLE NO.  1
 DV          PRED        RES         WRES
  3.9175E+01  2.4151E+01  1.5024E+01  7.5153E-01
  3.7616E+01  2.8841E+01  8.7754E+00  3.6337E-01
  2.8288E+01  2.6361E+01  1.9271E+00  1.0725E-01
  1.6177E+01  2.1856E+01 -5.6791E+00 -8.8693E-01
  7.5827E+00  1.3473E+01 -5.8904E+00 -5.2443E-01
  3.2279E+00  8.0258E+00 -4.7979E+00 -5.8084E-01
  1.6516E+00  4.9099E+00 -3.2583E+00 -6.0528E-01
  1.0353E+00  3.1967E+00 -2.1614E+00 -7.6586E-01
  8.4476E-01  1.1670E+00 -3.2225E-01 -8.8409E-01
  1.1357E+00  1.0173E+00  1.1842E-01  1.0336E+00
  6.6792E-01  9.2067E-01 -2.5275E-01 -7.7846E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.0638E+01  3.6763E+01  3.3875E+01  7.8167E-01
  9.5339E+01  5.2782E+01  4.2557E+01  1.2168E+00
  6.9440E+01  5.4837E+01  1.4603E+01 -2.4198E-02
  4.0275E+01  4.3333E+01 -3.0579E+00 -4.6152E-01
  1.7157E+01  3.1053E+01 -1.3896E+01 -1.2422E+00
  9.2449E+00  1.4846E+01 -5.6009E+00  7.5176E-01
  4.2760E+00  7.8458E+00 -3.5698E+00  1.8180E-01
  4.2959E+00  5.1953E+00 -8.9939E-01  2.6897E-01
  4.1657E+00  4.2266E+00 -6.0869E-02 -1.8757E-01
  3.8472E+00  3.3905E+00  4.5671E-01 -4.5472E-01
  2.7725E+00  3.0442E+00 -2.7169E-01 -1.5701E+00
  3.8289E+00  2.7337E+00  1.0952E+00  1.0554E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6859E+01  4.9708E+01 -3.2849E+01 -4.6928E-02
  2.8102E+01  7.4685E+01 -4.6583E+01 -6.4881E-01
  4.5548E+01  8.5313E+01 -3.9765E+01 -1.0109E+00
  4.3740E+01  7.4337E+01 -3.0597E+01 -1.6702E+00
  2.9592E+01  5.8643E+01 -2.9051E+01 -2.9034E+00
  3.8170E+01  3.2825E+01  5.3447E+00 -2.9165E-01
  2.5408E+01  1.8188E+01  7.2199E+00  4.4676E-01
  2.2118E+01  1.0893E+01  1.1225E+01  3.7845E+00
  1.4187E+01  7.4117E+00  6.7753E+00  3.5389E+00
  4.0771E+00  4.1710E+00 -9.3890E-02 -2.4638E-01
  2.8758E+00  3.8301E+00 -9.5435E-01 -1.3249E+00
  3.2239E+00  3.5392E+00 -3.1535E-01 -4.1923E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.5421E+01  3.8295E+01 -2.8741E+00 -1.4561E-01
  6.1699E+01  5.9147E+01  2.5518E+00  3.5549E-01
  6.3618E+01  7.1764E+01 -8.1463E+00 -5.3971E-01
  7.3412E+01  6.6822E+01  6.5900E+00  5.5495E-01
  5.4407E+01  5.6597E+01 -2.1897E+00 -2.7868E-01
  3.6025E+01  3.6723E+01 -6.9808E-01 -2.7680E-01
  2.2513E+01  2.3288E+01 -7.7482E-01 -4.3133E-01
  2.1919E+01  1.5307E+01  6.6120E+00  2.0861E+00
  1.0910E+01  1.0744E+01  1.6562E-01 -1.0523E-01
  2.8928E+00  4.8421E+00 -1.9493E+00 -1.5535E+00
  3.4642E+00  4.3060E+00 -8.4183E-01 -4.9899E-01
  3.9468E+00  3.9563E+00 -9.5139E-03  3.9200E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.8777E+01  5.0510E+01  1.8267E+01  2.8356E-01
  1.0095E+02  7.6253E+01  2.4697E+01  4.2779E-01
  1.2591E+02  8.8091E+01  3.7819E+01  1.5771E+00
  6.6629E+01  7.7841E+01 -1.1212E+01 -1.1515E+00
  6.5722E+01  6.2484E+01  3.2379E+00  2.5944E-01
  3.5200E+01  3.6679E+01 -1.4786E+00  3.9119E-02
  3.1227E+01  2.1733E+01  9.4937E+00  2.6087E+00
  1.5402E+01  1.4117E+01  1.2850E+00  7.5683E-01
  7.9943E+00  1.0384E+01 -2.3898E+00 -8.5310E-01
  3.7411E+00  6.5087E+00 -2.7676E+00 -1.4272E+00
  3.3539E+00  5.8362E+00 -2.4823E+00 -1.6887E+00
  3.0728E+00  5.2591E+00 -2.1863E+00 -1.9453E+00
  1.3660E+02  9.9698E+01  3.6902E+01  2.1786E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.8487E+00  6.5145E+00 -2.6658E+00 -1.7443E+00
  1.5219E+00  2.9271E+00 -1.4052E+00 -2.1626E+00
  8.9939E-01  1.1294E+00 -2.3006E-01 -3.7033E-01
  5.6338E-01  5.4394E-01  1.9438E-02  5.6093E-01
  5.4990E-01  4.4189E-01  1.0801E-01  1.3134E+00
  4.8112E-01  4.0229E-01  7.8830E-02  1.0569E+00
  1.1664E+00  2.2654E+00 -1.0990E+00 -7.6311E-01
  1.2430E+00  2.4541E+00 -1.2111E+00 -4.5842E-01
  1.2652E+02  9.5951E+01  3.0569E+01  7.5489E-01
  1.3623E+00  2.4698E+00 -1.1075E+00 -1.7463E-01
  1.1766E+02  9.5910E+01  2.1750E+01 -8.7272E-01
  1.2156E+00  2.4710E+00 -1.2554E+00 -4.7194E-01
  1.2469E+02  9.5906E+01  2.8784E+01  4.1709E-01
  6.9606E+00  8.9490E+00 -1.9884E+00 -3.6530E-01
  3.6447E+00  5.3081E+00 -1.6634E+00 -5.6230E-01
  2.3974E+00  3.4582E+00 -1.0608E+00  4.9823E-02
  1.7076E+00  2.8047E+00 -1.0971E+00 -7.8352E-02
  1.6454E+00  2.6368E+00 -9.9138E-01  8.6567E-02
  1.2275E+00  2.4710E+00 -1.2435E+00 -4.4727E-01
  1.4818E+00  2.4711E+00 -9.8926E-01  7.6840E-02
  6.4003E-01  1.7322E+00 -1.0922E+00 -3.5489E-01
  2.6532E-01  1.2145E+00 -9.4915E-01 -3.2195E-01
  1.6757E-01  8.5147E-01 -6.8390E-01  2.9895E-01
  1.0524E+02  9.9698E+01  5.5417E+00  2.5102E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.1441E+00  6.4743E+00 -2.3302E+00 -8.7349E-01
  3.9045E+00  3.2168E+00  6.8774E-01  4.2945E-02
  2.4069E+00  1.3337E+00  1.0732E+00  2.2047E+00
  6.3137E-01  6.2736E-01  4.0085E-03 -1.0050E+00
  5.0411E-01  4.8428E-01  1.9833E-02  2.1244E-01
  3.1180E-01  4.3439E-01 -1.2259E-01 -1.1352E+00
  2.5727E+00  2.7843E+00 -2.1158E-01  1.5304E-01
  9.0363E+01  9.5047E+01 -4.6844E+00 -1.7488E+00
  2.6779E+00  3.1472E+00 -4.6931E-01 -9.3857E-02
  3.0388E+00  3.1945E+00 -1.5574E-01  4.5426E-01
  1.0962E+02  9.3848E+01  1.5772E+01  1.9310E+00
  2.4869E+00  3.2004E+00 -7.1350E-01 -4.3349E-01
  9.9123E+01  9.3830E+01  5.2926E+00  5.4880E-03
  7.2501E+00  9.6356E+00 -2.3855E+00 -4.7061E-01
  5.3067E+00  6.3208E+00 -1.0141E+00 -9.5094E-01
  5.1338E+00  4.3817E+00  7.5207E-01  9.7451E-01
  4.0153E+00  3.6023E+00  4.1300E-01  1.1001E+00
  3.3947E+00  3.3879E+00  6.7676E-03  6.6289E-01
  2.6226E+00  3.2006E+00 -5.7797E-01 -2.1608E-01
  2.6941E+00  3.2007E+00 -5.0661E-01 -1.0155E-01
  1.8400E+00  2.3918E+00 -5.5181E-01 -2.9194E-01
  1.3937E+00  1.7879E+00 -3.9417E-01 -7.8485E-02
  8.6875E-01  1.3364E+00 -4.6768E-01 -5.0514E-01
  1.2630E+02  9.9698E+01  2.6602E+01  2.4882E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.0078E+00  5.7546E+00 -1.7468E+00 -1.5277E+00
  2.7310E+00  2.9591E+00 -2.2805E-01 -1.1600E+00
  1.3197E+00  1.2252E+00  9.4537E-02 -8.3875E-01
  8.4486E-01  5.2625E-01  3.1861E-01  1.4256E+00
  6.2783E-01  3.7288E-01  2.5495E-01  1.5268E+00
  5.7548E-01  3.2107E-01  2.5441E-01  2.0155E+00
  3.7458E+00  1.9930E+00  1.7528E+00  3.2129E+00
  1.0587E+02  9.7097E+01  8.7732E+00 -6.8563E-01
  2.3727E+00  2.2281E+00  1.4463E-01 -1.0924E+00
  1.0589E+02  9.6531E+01  9.3588E+00 -5.4075E-01
  3.4312E+00  2.2558E+00  1.1754E+00  1.2140E+00
  2.5639E+00  2.2590E+00  3.0495E-01 -7.5474E-01
  1.0870E+02  9.6454E+01  1.2246E+01 -3.1647E-03
